date,pincode,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_,city_type,state,district,Month,Weekday,Month_Name
2025-04-01,110006,0.0,0.0,0.0,300.0,2599.0,0.0,0.0,Metropolitan,Delhi,North Delhi,4,Tuesday,April
2025-04-01,110008,0.0,0.0,0.0,408.0,3192.0,0.0,0.0,Metropolitan,Delhi,Central Delhi,4,Tuesday,April
2025-04-01,110009,0.0,0.0,0.0,106.0,1541.0,0.0,0.0,Metropolitan,Delhi,North West Delhi,4,Tuesday,April
2025-04-01,110012,0.0,0.0,0.0,91.0,658.0,0.0,0.0,Metropolitan,Delhi,Central Delhi,4,Tuesday,April
2025-04-01,110025,0.0,0.0,0.0,442.0,3181.0,0.0,0.0,Metropolitan,Delhi,South Delhi,4,Tuesday,April
2025-04-01,110032,0.0,0.0,0.0,429.0,2068.0,0.0,0.0,Metropolitan,Delhi,Shahdara,4,Tuesday,April
2025-04-01,110033,0.0,0.0,0.0,476.0,5066.0,0.0,0.0,Metropolitan,Delhi,North West Delhi,4,Tuesday,April
2025-04-01,110034,0.0,0.0,0.0,642.0,3945.0,0.0,0.0,Metropolitan,Delhi,North West Delhi,4,Tuesday,April
2025-04-01,110036,0.0,0.0,0.0,249.0,1268.0,0.0,0.0,Metropolitan,Delhi,North West Delhi,4,Tuesday,April
2025-04-01,110037,0.0,0.0,0.0,489.0,1984.0,0.0,0.0,Metropolitan,Delhi,South West Delhi,4,Tuesday,April
2025-04-01,110039,0.0,0.0,0.0,640.0,2340.0,0.0,0.0,Metropolitan,Delhi,North West Delhi,4,Tuesday,April
2025-04-01,110041,0.0,0.0,0.0,2229.0,7180.0,0.0,0.0,Metropolitan,Delhi,West Delhi,4,Tuesday,April
2025-04-01,110044,0.0,0.0,0.0,1333.0,6949.0,0.0,0.0,Metropolitan,Delhi,South Delhi,4,Tuesday,April
2025-04-01,110045,0.0,0.0,0.0,520.0,4935.0,0.0,0.0,Metropolitan,Delhi,South West Delhi,4,Tuesday,April
2025-04-01,110054,0.0,0.0,0.0,97.0,642.0,0.0,0.0,Metropolitan,Delhi,North Delhi,4,Tuesday,April
2025-04-01,110057,0.0,0.0,0.0,41.0,624.0,0.0,0.0,Metropolitan,Delhi,South West Delhi,4,Tuesday,April
2025-04-01,110059,0.0,0.0,0.0,1780.0,14314.0,0.0,0.0,Metropolitan,Delhi,West Delhi,4,Tuesday,April
2025-04-01,110063,0.0,0.0,0.0,209.0,1922.0,0.0,0.0,Metropolitan,Delhi,West Delhi,4,Tuesday,April
2025-04-01,110065,0.0,0.0,0.0,127.0,1009.0,0.0,0.0,Metropolitan,Delhi,South Delhi,4,Tuesday,April
2025-04-01,110071,0.0,0.0,0.0,166.0,968.0,0.0,0.0,Metropolitan,Delhi,South West Delhi,4,Tuesday,April
2025-04-01,110074,0.0,0.0,0.0,301.0,1805.0,0.0,0.0,Metropolitan,Delhi,South Delhi,4,Tuesday,April
2025-04-01,110075,0.0,0.0,0.0,150.0,1213.0,0.0,0.0,Metropolitan,Delhi,South West Delhi,4,Tuesday,April
2025-04-01,110078,0.0,0.0,0.0,330.0,1736.0,0.0,0.0,Metropolitan,Delhi,South West Delhi,4,Tuesday,April
2025-04-01,110080,0.0,0.0,0.0,199.0,1040.0,0.0,0.0,Metropolitan,Delhi,South Delhi,4,Tuesday,April
2025-04-01,110086,0.0,0.0,0.0,1938.0,11133.0,0.0,0.0,Metropolitan,Delhi,North West Delhi,4,Tuesday,April
2025-04-01,110087,0.0,0.0,0.0,146.0,968.0,0.0,0.0,Metropolitan,Delhi,West Delhi,4,Tuesday,April
2025-04-01,110088,0.0,0.0,0.0,192.0,1667.0,0.0,0.0,Metropolitan,Delhi,North West Delhi,4,Tuesday,April
2025-04-01,110092,0.0,0.0,0.0,1132.0,6242.0,0.0,0.0,Metropolitan,Delhi,East Delhi,4,Tuesday,April
2025-04-01,110093,0.0,0.0,0.0,874.0,2849.0,0.0,0.0,Metropolitan,Delhi,North East Delhi,4,Tuesday,April
2025-04-01,110094,0.0,0.0,0.0,2690.0,9668.0,0.0,0.0,Metropolitan,Delhi,North East Delhi,4,Tuesday,April
2025-04-01,110096,0.0,0.0,0.0,2262.0,5956.0,0.0,0.0,Metropolitan,Delhi,East Delhi,4,Tuesday,April
2025-04-01,121003,0.0,0.0,0.0,381.0,2126.0,0.0,0.0,Metropolitan,Haryana,Faridabad,4,Tuesday,April
2025-04-01,121004,0.0,0.0,0.0,1045.0,5354.0,0.0,0.0,Metropolitan,Haryana,Faridabad,4,Tuesday,April
2025-04-01,121005,0.0,0.0,0.0,318.0,2000.0,0.0,0.0,Metropolitan,Haryana,Faridabad,4,Tuesday,April
2025-04-01,121006,0.0,0.0,0.0,98.0,534.0,0.0,0.0,Metropolitan,Haryana,Faridabad,4,Tuesday,April
2025-04-01,121101,0.0,0.0,0.0,77.0,555.0,0.0,0.0,Metropolitan,Haryana,Faridabad,4,Tuesday,April
2025-04-01,121105,0.0,0.0,0.0,80.0,651.0,0.0,0.0,Non-Metropolitan,Haryana,Palwal,4,Tuesday,April
2025-04-01,122001,0.0,0.0,0.0,867.0,5452.0,0.0,0.0,Metropolitan,Haryana,Gurgaon,4,Tuesday,April
2025-04-01,122002,0.0,0.0,0.0,135.0,1020.0,0.0,0.0,Metropolitan,Haryana,Gurgaon,4,Tuesday,April
2025-04-01,122017,0.0,0.0,0.0,137.0,1049.0,0.0,0.0,Metropolitan,Haryana,Gurgaon,4,Tuesday,April
2025-04-01,122101,0.0,0.0,0.0,135.0,918.0,0.0,0.0,Metropolitan,Haryana,Gurgaon,4,Tuesday,April
2025-04-01,122503,0.0,0.0,0.0,67.0,421.0,0.0,0.0,Metropolitan,Haryana,Gurgaon,4,Tuesday,April
2025-04-01,122505,0.0,0.0,0.0,154.0,1006.0,0.0,0.0,Metropolitan,Haryana,Gurgaon,4,Tuesday,April
2025-04-01,122506,0.0,0.0,0.0,45.0,390.0,0.0,0.0,Metropolitan,Haryana,Gurgaon,4,Tuesday,April
2025-04-01,122508,0.0,0.0,0.0,225.0,2072.0,0.0,0.0,Non-Metropolitan,Haryana,Mewat,4,Tuesday,April
2025-04-01,123021,0.0,0.0,0.0,60.0,555.0,0.0,0.0,Non-Metropolitan,Haryana,Mahendragarh,4,Tuesday,April
2025-04-01,123027,0.0,0.0,0.0,95.0,420.0,0.0,0.0,Non-Metropolitan,Haryana,Mahendragarh,4,Tuesday,April
2025-04-01,123029,0.0,0.0,0.0,65.0,569.0,0.0,0.0,Non-Metropolitan,Haryana,Mahendragarh,4,Tuesday,April
2025-04-01,123034,0.0,0.0,0.0,32.0,184.0,0.0,0.0,Non-Metropolitan,Haryana,Mahendragarh,4,Tuesday,April
2025-04-01,123106,0.0,0.0,0.0,89.0,569.0,0.0,0.0,Non-Metropolitan,Haryana,Rewari,4,Tuesday,April
2025-04-01,123411,0.0,0.0,0.0,60.0,322.0,0.0,0.0,Non-Metropolitan,Haryana,Rewari,4,Tuesday,April
2025-04-01,124001,0.0,0.0,0.0,386.0,1645.0,0.0,0.0,Non-Metropolitan,Haryana,Rohtak,4,Tuesday,April
2025-04-01,124112,0.0,0.0,0.0,39.0,254.0,0.0,0.0,Non-Metropolitan,Haryana,Rohtak,4,Tuesday,April
2025-04-01,124113,0.0,0.0,0.0,23.0,90.0,0.0,0.0,Non-Metropolitan,Haryana,Rohtak,4,Tuesday,April
2025-04-01,124401,0.0,0.0,0.0,21.0,91.0,0.0,0.0,Non-Metropolitan,Haryana,Rohtak,4,Tuesday,April
2025-04-01,124412,0.0,0.0,0.0,10.0,38.0,0.0,0.0,Non-Metropolitan,Haryana,Rohtak,4,Tuesday,April
2025-04-01,124501,0.0,0.0,0.0,41.0,202.0,0.0,0.0,Non-Metropolitan,Haryana,Rohtak,4,Tuesday,April
2025-04-01,124507,0.0,0.0,0.0,469.0,2115.0,0.0,0.0,Non-Metropolitan,Haryana,Jhajjar,4,Tuesday,April
2025-04-01,124514,0.0,0.0,0.0,38.0,183.0,0.0,0.0,Non-Metropolitan,Haryana,Rohtak,4,Tuesday,April
2025-04-01,125044,0.0,0.0,0.0,58.0,272.0,0.0,0.0,Non-Metropolitan,Haryana,Hisar,4,Tuesday,April
2025-04-01,125051,0.0,0.0,0.0,171.0,1188.0,0.0,0.0,Non-Metropolitan,Haryana,Fatehabad,4,Tuesday,April
2025-04-01,125055,0.0,0.0,0.0,250.0,1832.0,0.0,0.0,Non-Metropolitan,Haryana,Sirsa,4,Tuesday,April
2025-04-01,125060,0.0,0.0,0.0,42.0,257.0,0.0,0.0,Non-Metropolitan,Haryana,Sirsa,4,Tuesday,April
2025-04-01,125076,0.0,0.0,0.0,34.0,195.0,0.0,0.0,Non-Metropolitan,Haryana,Sirsa,4,Tuesday,April
2025-04-01,125102,0.0,0.0,0.0,69.0,467.0,0.0,0.0,Non-Metropolitan,Haryana,Sirsa,4,Tuesday,April
2025-04-01,125104,0.0,0.0,0.0,84.0,667.0,0.0,0.0,Non-Metropolitan,Haryana,Sirsa,4,Tuesday,April
2025-04-01,126101,0.0,0.0,0.0,48.0,356.0,0.0,0.0,Non-Metropolitan,Haryana,Jind,4,Tuesday,April
2025-04-01,126102,0.0,0.0,0.0,258.0,1441.0,0.0,0.0,Non-Metropolitan,Haryana,Jind,4,Tuesday,April
2025-04-01,126112,0.0,0.0,0.0,70.0,544.0,0.0,0.0,Non-Metropolitan,Haryana,Jind,4,Tuesday,April
2025-04-01,127030,0.0,0.0,0.0,19.0,135.0,0.0,0.0,Non-Metropolitan,Haryana,Bhiwani,4,Tuesday,April
2025-04-01,127031,0.0,0.0,0.0,25.0,138.0,0.0,0.0,Non-Metropolitan,Haryana,Bhiwani,4,Tuesday,April
2025-04-01,127040,0.0,0.0,0.0,51.0,235.0,0.0,0.0,Non-Metropolitan,Haryana,Bhiwani,4,Tuesday,April
2025-04-01,131023,0.0,0.0,0.0,53.0,330.0,0.0,0.0,Non-Metropolitan,Haryana,Sonipat,4,Tuesday,April
2025-04-01,131024,0.0,0.0,0.0,19.0,161.0,0.0,0.0,Non-Metropolitan,Haryana,Sonipat,4,Tuesday,April
2025-04-01,131029,0.0,0.0,0.0,66.0,297.0,0.0,0.0,Non-Metropolitan,Haryana,Sonipat,4,Tuesday,April
2025-04-01,132023,0.0,0.0,0.0,18.0,112.0,0.0,0.0,Non-Metropolitan,Haryana,Karnal,4,Tuesday,April
2025-04-01,132039,0.0,0.0,0.0,48.0,440.0,0.0,0.0,Non-Metropolitan,Haryana,Karnal,4,Tuesday,April
2025-04-01,132103,0.0,0.0,0.0,952.0,5630.0,0.0,0.0,Non-Metropolitan,Haryana,Panipat,4,Tuesday,April
2025-04-01,132107,0.0,0.0,0.0,50.0,258.0,0.0,0.0,Non-Metropolitan,Haryana,Panipat,4,Tuesday,April
2025-04-01,132113,0.0,0.0,0.0,37.0,246.0,0.0,0.0,Non-Metropolitan,Haryana,Panipat,4,Tuesday,April
2025-04-01,132157,0.0,0.0,0.0,14.0,94.0,0.0,0.0,Non-Metropolitan,Haryana,Karnal,4,Tuesday,April
2025-04-01,133001,0.0,0.0,0.0,201.0,1022.0,0.0,0.0,Non-Metropolitan,Haryana,Ambala,4,Tuesday,April
2025-04-01,133103,0.0,0.0,0.0,52.0,355.0,0.0,0.0,Non-Metropolitan,Haryana,Yamuna Nagar,4,Tuesday,April
2025-04-01,133201,0.0,0.0,0.0,45.0,230.0,0.0,0.0,Non-Metropolitan,Haryana,Ambala,4,Tuesday,April
2025-04-01,134007,0.0,0.0,0.0,21.0,150.0,0.0,0.0,Non-Metropolitan,Haryana,Ambala,4,Tuesday,April
2025-04-01,134113,0.0,0.0,0.0,235.0,630.0,0.0,0.0,Non-Metropolitan,Haryana,Panchkula,4,Tuesday,April
2025-04-01,135002,0.0,0.0,0.0,36.0,224.0,0.0,0.0,Non-Metropolitan,Haryana,Yamuna Nagar,4,Tuesday,April
2025-04-01,135102,0.0,0.0,0.0,71.0,502.0,0.0,0.0,Non-Metropolitan,Haryana,Yamuna Nagar,4,Tuesday,April
